HDI Rank (2018),Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
96,Venezuela (Bolivarian Republic of),37,42,48,57,73,73,72,75,73,75,69,67,
118,Viet Nam,31,33,41,59,71,74,78,82,81,83,87,95,
177,Yemen,,,,1,1,1,,1,,,2,,
143,Zambia,,,,,,,,,7,7,8,,
150,Zimbabwe,,35,62,,,,41,42,,,,,
170,Afghanistan,,,,,,,,,,,,,
36,Andorra,,,,,,,,,,,,,
75,Bosnia and Herzegovina,,,,,,,,,,,,,
169,Haiti,,,,,,,,,,,,,
132,Kiribati,,,,,,,,,,,,,
73,Saint Kitts and Nevis,,,,,,,,,,,,,
110,Libya,,,,,,,,,,,,,
180,Mozambique,,,,,,,,,,,,,
9,Singapore,,,,,,,,,,,,,
 ,Very high human development,64,65,,,,72,73,77,78,79,82,,
 ,High human development,24,27,41,,56,59,64,68,71,75,74,76,
 ,Medium human development,,11,,16,14,16,23,24,26,28,29,29,
 ,Low human development,,,,,13,,,,,,,,
 ,Developing Countries,,21,,,29,33,38,40,42,43,46,46,
 ,Arab States,,,18,18,27,25,,26,,,,,
 ,East Asia and the Pacific,,25,40,,,,,,74,79,79,80,
 ,Europe and Central Asia,49,28,24,30,38,41,42,40,34,35,36,,
 ,Latin America and the Caribbean,,,,,,68,70,73,75,75,76,,
 ,South Asia,,,,11,9,11,17,20,20,22,23,24,
 ,Sub-Saharan Africa,,,,,16,,,,,26,,,
 ,Least Developed Countries,,,,,13,16,,,,23,,,
 ,Small Island Developing States,,,,,,,,,,,,,
 ,Organization for Economic Co-operation and Development,60,68,,,77,79,80,78,79,79,80,,
 ,World,27,29,,,34,38,43,46,48,49,52,,
