HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
145,Myanmar,,,,,,,,19.4,23.2
130,Namibia,44.3,43.5,43.5,43.6,43.6,35.2,34.8,34.8,35.3
147,Nepal,31.9,34.3,34.3,28.8,26.8,27.1,26.2,25.6,25.8
10,Netherlands,8.1,7,6.9,6.7,6.6,6.9,7.4,7.9,6.8
14,New Zealand,,,,,,,,7.7,9.2
126,Nicaragua,24.6,27.5,27.5,26.4,24,25.8,24,22.9,23
189,Niger,33.9,34.2,34.2,32.4,29.3,28.3,28.1,29.3,27.8
158,Nigeria,41.7,39.3,41.4,40.3,37.8,37.8,36.9,34.7,34.6
82,North Macedonia,16.7,16.4,14.7,13.6,16.7,16.7,16.4,12.6,13.1
1,Norway,6.6,5.6,6.4,5.6,5.4,5.4,7.6,8,6.8
47,Oman,,,,,,,,,12.2
152,Pakistan,31.5,31.4,30.9,30.1,29.9,30.9,30.3,31,31.1
119,"Palestine, State of",,,,11.7,14.9,15.1,14.7,15,13.5
67,Panama,28.3,24.6,24.6,22.1,22.5,22,20.8,21.1,21.2
98,Paraguay,24.6,24,,24.1,22.1,24.3,22.4,25.5,22.5
82,Peru,30.6,23.2,24.3,23.7,23.4,21.6,20,19.2,19.4
106,Philippines,18.9,19.9,19.9,18.1,18.1,18.5,17.9,17.9,18.2
32,Poland,10.8,9.7,9.9,9.9,9.8,9.5,9.4,9,8.1
40,Portugal,11.9,10.2,10.7,10.1,10.3,10.4,13.9,13.5,12.7
52,Romania,12.1,12.6,12.6,10.5,10.4,11.1,11.7,11.6,11.1
49,Russian Federation,11.5,11.3,,12,10.5,9.8,9.5,9.5,9.9
157,Rwanda,37,35.7,33.9,33.2,31.6,31.9,30,30,28.7
89,Saint Lucia,,,,,15.9,16,15.7,16.7,17.2
137,Sao Tome and Principe,,31.5,31.8,31.2,24.7,24.7,19.8,19.8,16.8
166,Senegal,36.2,33.8,33,32.9,34.4,33.1,31.9,32.7,32.5
63,Serbia,10.8,9.5,9.5,10.9,10.1,11.2,14.9,15.3,11.1
181,Sierra Leone,39.3,41.7,41.7,44.3,41.6,37.8,36.5,36.5,35.7
9,Singapore,,,,,,,,12.5,13.3
36,Slovakia,6.7,5.7,6.3,6.3,6.2,6.1,6.9,6.8,6.2
24,Slovenia,6.9,5.3,5.8,5.8,5.9,5.9,5.6,5.6,4.8
153,Solomon Islands,,,,23.8,23.8,23.8,,,
113,South Africa,31.1,,,,35.7,34.7,33.2,33.2,34.4
186,South Sudan,,,,,,,,36.4,36.1
25,Spain,9.8,8.9,10.1,10.9,11.5,10.5,15.6,15.4,14.3
71,Sri Lanka,17.1,16.2,15.1,14.3,11.6,11.6,11.3,13.8,12.1
168,Sudan,,,,,,,36.2,34.8,34.6
98,Suriname,24.3,23.8,23,24.2,24,24,22.5,22.6,22.7
8,Sweden,6.9,5.9,6.2,6.5,6.7,6.7,7.1,7.4,6.7
2,Switzerland,7.1,7,7,7.7,7.4,8.6,7.8,7.8,6.8
154,Syrian Arab Republic,20.8,20.4,20.4,21.2,21.2,21.8,21.3,,
125,Tajikistan,19.1,17.6,18.4,19.2,17.5,15.2,14,13.5,12.5
159,Tanzania (United Republic of),28.4,28.8,27.4,27.1,27.3,25.4,24.9,24.8,24.9
77,Thailand,21.2,21.3,21.3,20.7,20.7,20.8,16.8,15.7,17
131,Timor-Leste,33.4,32.9,33,30.7,30.7,31.2,30.1,27.7,28
167,Togo,32.9,33.5,33.5,32.9,33.4,31.9,31.2,31.7,31.7
63,Trinidad and Tobago,15.5,15.3,15.3,15.2,15.2,15.3,14.9,,
91,Tunisia,25.2,25.2,,,22,22.5,22,22.1,20.9
59,Turkey,23.6,22.5,22.5,15.8,15.8,15.9,15.4,15.4,16.2
108,Turkmenistan,26.4,,,,,,18.5,18.5,18.5
159,Uganda,32.1,33.6,33.6,30.8,30.2,30.9,29.8,28.3,26.7
88,Ukraine,8.1,9.2,9.2,9.2,7.8,7.2,6.8,6.6,6.5
