HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
40,Portugal,5.7,5.6,5.6,5.7,5.9,5.9,17.5,16.3,15.8
41,Qatar,,,,,,,11.9,11.4,11.8
52,Romania,13.1,5,5,5,4.7,4.6,6,6.3,5.3
49,Russian Federation,11.2,11.2,,2.1,2.3,2.2,2.2,2.2,3.1
157,Rwanda,30.7,30.7,29.4,29.4,29.4,29.3,29.3,29.3,29.3
89,Saint Lucia,,,,,9.2,9.2,9.2,12.6,12.6
111,Samoa,,,,,,,,4.9,4.9
137,Sao Tome and Principe,22.7,19.1,20,20,21.4,21.4,18.3,18.3,18.3
36,Saudi Arabia,,,,,,,16.4,16.2,18
166,Senegal,47.3,45.1,44.6,44.6,44.7,44.7,45.3,46.5,46
63,Serbia,11.1,9.9,9.9,10.7,8.1,8.1,9.3,8.1,8.1
181,Sierra Leone,48.2,47.4,47.4,48.7,49.6,47.3,47.3,47.3,46.9
9,Singapore,,,,,,,8.8,8.2,11
36,Slovakia,1.7,1.6,1.5,1.5,1.5,1.4,1.6,1.4,1.6
24,Slovenia,4,3.1,3.3,2.7,2.6,2.6,2.2,2.2,2.2
153,Solomon Islands,30.2,,,22.8,22.8,22.8,,,
,Somalia,,,,,43.5,43.5,,,
113,South Africa,20.8,20.8,20.8,18.1,16.1,13.8,14.3,14.3,17.3
186,South Sudan,,,,,39.6,39.6,39.6,39.6,39.6
25,Spain,5.7,5.5,5.5,5.4,5.2,5.1,19.2,18.6,17.1
71,Sri Lanka,17.9,17.9,14.6,14.6,12.8,12.8,12.8,12.8,7.4
168,Sudan,,,,,42.7,42.7,42.5,42.5,42.5
98,Suriname,20.1,20.1,20.1,19.5,19,19,15.2,15.6,15.6
8,Sweden,3.6,3.9,3.8,3.6,3.5,3.4,3.5,3.7,3.8
2,Switzerland,2,2,2,5.8,5.7,5.7,2.4,2.4,1.9
154,Syrian Arab Republic,31.5,31.5,31.5,31.5,31.5,31.5,31.5,,
125,Tajikistan,9.4,9.4,12.2,12.2,6.5,6.5,6.5,6.5,6
159,Tanzania (United Republic of),28.7,32.8,28.3,29.5,28.5,28.5,27,27,27
77,Thailand,18,18,18,16.1,16.1,16.1,16.6,13.3,18.3
131,Timor-Leste,44.3,47.4,47.6,47.6,47.6,47.6,47.6,44.9,44.9
167,Togo,41.5,41.5,41.5,37.6,38.9,38.9,38.9,38.9,38.9
105,Tonga,5.1,,,,,,,4.5,4.5
63,Trinidad and Tobago,6.6,6.6,6.6,6.6,6.6,6.6,6.6,,
91,Tunisia,38.7,38.7,,,34.6,34.6,34.6,34.6,32.8
59,Turkey,27.4,27.4,27.4,14.1,14.2,14.2,14.2,13.5,16.5
108,Turkmenistan,10.2,,,,,,3.6,3.6,3.6
,Tuvalu,,,,10.5,10.5,10.5,10.5,10.5,10.5
159,Uganda,28.2,32.2,32.2,31.2,29.4,29.4,29.4,27.9,27.9
88,Ukraine,2.8,6.1,6.1,6.1,3.6,3.6,3.6,3.6,3.6
35,United Arab Emirates,,,,,,,,,18.2
15,United Kingdom,2.1,2.2,2.6,2.6,2.8,2.8,8.7,3.7,2.8
15,United States,3.2,3.7,5.3,6.7,5.3,5.6,5.6,5.5,5.5
57,Uruguay,10.8,10.8,10.8,10.9,9.2,10.4,7.4,7.4,8.2
108,Uzbekistan,1.4,1.4,1.4,1.4,1.4,1.4,1.3,0.8,0.7
141,Vanuatu,,,,,17.5,17.5,17.5,17.5,
96,Venezuela (Bolivarian Republic of),17,18.1,18.1,17.6,17.6,17.6,14.5,12.9,8.8
118,Viet Nam,17.1,17.1,17.1,18,18,17.6,17.6,17.6,17.6
177,Yemen,49.8,49.8,49.8,47.2,48.1,48.1,46.1,46.1,46.1
143,Zambia,24.2,23.8,23.8,23.8,21.7,21.7,21.7,21.7,21.7
150,Zimbabwe,20.1,20.1,17.8,17.8,17.4,17.4,16.8,16.8,16.8
74,Antigua and Barbuda,,,,,,,,,
43,Brunei Darussalam,,,,,,,,,
98,Dominica,,,,,,,,,
182,Eritrea,,,,,,,,,
78,Grenada,,,,,,,,,
73,Saint Kitts and Nevis,,,,,,,,,
110,Libya,,,,,,,,,
18,Liechtenstein,,,,,,,,,
62,Seychelles,,,,,,,,,
94,Saint Vincent and the Grenadines,,,,,,,,,
 ,Very high human development,8,8,8.2,8.2,7.7,7.6,8.4,7.1,7.1
 ,High human development,22.2,22.2,22.1,21.9,20.8,19.8,18.6,14.2,14.8
 ,Medium human development,38.8,39.1,39.9,38.9,38.7,36.9,36.9,36.5,19.9
 ,Low human development,38.1,38.1,37.9,38.6,38.7,37.7,37.6,37.4,37.4
 ,Developing Countries,30.2,30.3,30.6,32.7,32.4,31,30.5,25.3,19.8
 ,Arab States,41.8,40.5,39.5,38,38.9,37.1,32.8,32.5,32.5
 ,East Asia and the Pacific,22.1,22,21.9,19.7,18.4,18.3,18.9,13.1,13.5
 ,Europe and Central Asia,12.8,12.9,13,8.6,7.9,7.9,7.4,7.2,8.3
 ,Latin America and the Caribbean,22.6,23.2,23,22.2,21,19.7,18.4,18.4,19.7
 ,South Asia,41.3,40.9,42.1,41.6,41.5,39.5,39.7,37.8,18.4
 ,Sub-Saharan Africa,34.3,35.6,35.3,35.7,35.3,34,34.1,33.8,34
 ,Least Developed Countries,37.1,36.8,36.2,35.6,36.4,35.4,35.5,36.2,36.3
 ,Small Island Developing States,27.6,29.6,30.1,22,21.1,20.5,19.9,19.6,19.7
 ,Organization for Economic Co-operation and Development,8.4,9,9.6,10.2,9.5,9.5,10,8.3,8.2
 ,World,26.2,26.3,27,27.2,26.9,25.9,25.7,22.3,17.4
